# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.clear.count,1774053842945000000,1774053884655000000,0
workspaceModel.init.bridges.ms,1774053842945000000,1774053884655000000,0
workspaceModel.cachedValue.from.cache.count,1774053842945000000,1774053884655000000,16
workspaceModel.updates.count,1774053842945000000,1774053884655000000,0
workspaceModel.replace.project.model.ms,1774053842945000000,1774053884655000000,0
workspaceModel.loading.total.ms,1774053842945000000,1774053884655000000,105
workspaceModel.on.changed.ms,1774053842945000000,1774053884655000000,0
workspaceModel.check.recursive.update.ms,1774053842945000000,1774053884655000000,0
workspaceModel.to.snapshot.ms,1774053842945000000,1774053884655000000,0
workspaceModel.pre.handlers.ms,1774053842945000000,1774053884655000000,0
workspaceModel.cachedValue.calculated.count,1774053842945000000,1774053884655000000,2
workspaceModel.cachedValue.total.get.count,1774053842945000000,1774053884655000000,18
workspaceModel.on.before.changed.ms,1774053842945000000,1774053884655000000,0
workspaceModel.cachedValueWithParameters.clear.count,1774053842945000000,1774053884655000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774053842945000000,1774053884655000000,4
workspaceModel.cachedValueWithParameters.calculated.count,1774053842945000000,1774053884655000000,0
